Well,Depth,Pore,GR,SP,CAL,K,TH,U,DEN,AC,CN,PERM,STA,Lithcore,Lithdebris,Faces
TZ12,4377.005999999999,5.928999999999999,8.70016139513832,7.358767920634973,9.946,2.889,11.632,3.2060000000000004,2.583,66.637,9.33,1.861,S1K3,,5.0,1.0
TZ12,4378.436,15.892000000000001,11.754048260866659,10.479034504761906,12.282,1.7919999999999998,9.18,2.033,2.52,75.691,20.453,2.7239999999999998,S1K3,,5.0,1.0
TZ12,4378.585999999999,8.305,12.400005733972328,10.434833080952382,10.14,1.7519999999999998,9.072000000000001,1.922,2.513,75.528,14.689,4.281000000000001,S1K3,,5.0,1.0
TZ12,4379.446,9.248,9.356814842853678,10.072165333333333,9.713,2.2230000000000003,9.383,2.405,2.53,67.538,12.034,3.911,S1K3,,5.0,1.0
TZ12,4379.965999999999,4.087,11.675042994617213,7.126071388888922,9.779,2.051,7.768,2.041,2.549,74.189,13.038,3.005,S1K3,,5.0,1.0
TZ12,4380.076,11.674000000000001,13.409606868536258,10.846439466666661,10.031,1.983,7.143,1.849,2.516,78.032,12.034,4.544,S1K3,,5.0,1.0
TZ12,4380.6759999999995,7.777,6.792816651554443,7.109044666666714,9.636000000000001,2.008,8.083,3.661,2.562,62.102,10.720999999999998,2.821,S1K3,,5.0,1.0
TZ12,4380.8859999999995,6.605,6.577378930977717,6.4550266666667255,9.628,1.77,7.155,2.885,2.6069999999999998,61.276,11.562000000000001,1.5330000000000001,S1K3,,5.0,1.0
TZ12,4381.335999999999,7.218999999999999,8.79329775104393,7.8451426666666695,9.625,1.79,7.9910000000000005,3.35,2.555,66.566,12.001,3.275,S1K3,,5.0,1.0
TZ12,4382.066,10.565999999999999,10.895127678013921,10.546592,9.656,1.7009999999999998,13.052,4.098,2.512,73.393,12.474,3.136,S1K3,,5.0,1.0
TZ12,4382.276,8.814,10.273188540182497,9.853033333333325,9.677999999999999,1.804,13.583,4.27,2.517,72.52600000000001,10.58,2.637,S1K3,,5.0,1.0
TZ12,4382.776,10.520999999999999,8.083146666976553,10.160457333333332,9.672,1.861,10.742,3.617,2.583,68.757,10.718,1.006,S1K3,,5.0,1.0
TZ12,4383.026,11.827,9.435693147855375,11.178175999999983,9.686,1.775,9.945,3.083,2.532,69.997,12.777000000000001,1.837,S1K3,,5.0,1.0
TZ12,4383.576,15.489,11.707366798054236,14.945852233333287,9.623,1.824,8.168,1.3719999999999999,2.5180000000000002,72.132,12.913,5.045,S1K3,,5.0,1.0
TZ12,4383.876,14.593,11.845200563919123,14.518793066666658,9.597999999999999,1.903,8.456,1.271,2.516,72.282,11.873,5.54,S1K3,,5.0,1.0
TZ12,4384.116,8.276,11.171775627042788,10.060592666666667,9.586,1.9380000000000002,8.852,1.35,2.549,70.208,8.677,4.9910000000000005,S1K3,,1.0,1.0
TZ12,4384.626,5.379,7.642019721615317,6.128224914285815,9.517999999999999,2.231,9.088,1.695,2.5980000000000003,64.73100000000001,8.96,0.961,S1K3,,1.0,3.0
TZ12,4384.9259999999995,11.274000000000001,9.882891404574305,11.531129999999996,9.48,2.3609999999999998,5.797999999999999,2.022,2.499,68.066,11.639000000000001,5.82,S1K3,,1.0,3.0
TZ12,4385.126,14.867,11.295181025594315,14.71175999999993,9.57,2.343,6.426,2.158,2.455,71.118,12.315999999999999,10.544,S1K3,,5.0,3.0
TZ12,4385.306,13.331,10.692626028570784,10.936776000000002,9.67,2.242,8.378,2.487,2.474,70.87100000000001,10.446,5.611000000000001,S1K3,,5.0,3.0
TZ12,4388.736,9.544,11.355775458423068,9.61038923333334,9.331,2.085,9.612,2.5789999999999997,2.395,73.998,15.953,4.23,S1K3,,5.0,3.0
TZ12,4388.916,7.07,9.892827768202089,8.273106000000022,9.565,1.778,8.298,2.061,2.454,70.485,9.517999999999999,1.847,S1K3,,5.0,3.0
