DEPTH,GR,SP,CAL,DEN,AC,CN
4322.5,59.845,35.52,13.340691115837028,13.906151349999975,70.68,13.767999999999999
4322.625,59.178000000000004,35.207,13.486003421167553,14.445865349999995,70.998,13.177
4322.75,58.658,32.694,13.315441594251762,13.627554061111102,70.814,12.652000000000001
4322.875,60.718,27.340999999999998,12.671378267853028,12.705826739682552,70.053,12.138
4323.0,66.337,21.756,11.751340720452434,13.000062666666686,68.997,11.485
4323.125,73.051,18.952,10.899143511495778,12.116310000000018,67.905,11.175999999999998
4323.25,79.778,18.137999999999998,10.168793754073493,9.449809333333334,66.889,10.257
4323.375,84.54899999999999,18.073,9.75755917742728,10.26077461904762,66.368,10.422
4323.5,89.944,18.116,9.573797917603738,10.104555476190477,66.439,12.026
4323.625,93.6,18.605,9.523246316613264,9.132690187301588,66.61399999999999,14.231
4323.75,92.351,19.236,9.659109524723508,9.423107396825394,66.751,15.023
4323.875,88.61,19.355,9.976918028616547,8.787066666666668,67.141,14.582
4324.0,82.70100000000001,19.639,10.450664519573284,12.062704666666674,67.679,13.453
4324.125,80.874,20.160999999999998,10.48299746725207,11.74125266666666,67.525,12.584000000000001
4324.25,81.72,20.578000000000003,10.099089742711085,10.051728666666667,66.642,11.984000000000002
4324.375,81.854,20.671999999999997,9.649479632184523,8.949664666666665,65.569,11.273
4324.5,81.426,20.768,9.346969844127248,7.976917333333336,64.794,10.275
4324.625,79.347,20.971,9.516551320428327,7.87775666666666,64.979,12.464
4324.75,79.207,21.096,10.040328810758986,9.797220000000001,66.205,14.94
4324.875,79.836,21.266,10.82347057841317,11.822616666666665,68.12,16.637
4325.0,79.85,21.756999999999998,11.416285362026159,12.851334666666673,69.486,17.026
4325.125,77.355,22.480999999999998,11.649186221920955,12.749310000000017,69.726,16.105
4325.25,71.634,23.113000000000003,11.729130856549686,12.432767777777794,69.30199999999999,14.875
4325.375,67.168,23.664,11.688815488677589,12.527021333333337,68.719,14.267999999999999
4325.5,65.227,24.225,11.617117187042103,12.526946666666653,68.301,13.773
4325.625,66.331,24.561999999999998,11.432876737092883,11.109950666666657,67.929,13.125
4325.75,68.399,23.831,11.123904142448097,11.118130666666664,67.467,12.27
4325.875,69.35,22.394000000000002,10.755905032463604,10.320564666666668,66.834,11.470999999999998
4326.0,70.503,21.355999999999998,10.410546527873468,9.953418000000001,66.23100000000001,10.742
4326.125,72.874,20.254,10.078438677896969,8.41938533333332,65.783,10.887
4326.25,78.27199999999999,18.891,9.639093236220306,9.407099333333347,65.396,11.502
4326.375,84.587,17.113,9.029704233192756,7.567348333333321,64.735,12.027000000000001
4326.5,88.469,15.669,8.469120251764457,7.818185111111086,63.922,11.992
4326.625,88.09700000000001,15.152999999999999,8.194200020579906,8.150893333333318,63.285,11.989
4326.75,82.39399999999999,14.677999999999999,8.281552077921107,8.54833,63.001000000000005,11.716
4326.875,75.602,14.113,8.485202143706665,8.328745999999988,62.901,11.685
4327.0,68.875,13.975999999999999,8.97244133581086,8.70110799999999,63.43899999999999,11.532
4327.125,67.304,14.677999999999999,9.657373255107906,8.957999333333326,64.851,11.253
4327.25,71.134,15.522,10.345905850105153,10.897710666666667,66.77199999999999,12.011
4327.375,74.831,15.465,10.955673201554665,12.243067333333357,68.59,12.117
4327.5,81.563,14.357999999999999,11.054520659932955,11.985612000000017,69.59,12.687000000000001
4327.625,84.838,13.020999999999999,10.678129615604961,12.431034000000029,69.148,13.192
4327.75,85.06,12.262,9.634381004854081,11.016360285714288,66.755,13.466
4327.875,84.04799999999999,11.862,8.48401859655603,8.40919466666666,63.95,13.610999999999999
4328.0,81.954,11.274000000000001,8.207688558201237,8.697170666666667,63.153,13.575999999999999
4328.125,85.296,10.673,8.7295289675411,8.736369333333329,64.786,12.886
4328.25,90.656,10.304,9.56594344120607,10.042474666666667,67.339,12.4
4328.375,95.30799999999999,10.157,9.980069786371894,11.556722666666653,68.79,11.963
