Well,Depth,Pore,GR,SP,CAL,K,TH,U,DEN,AC,CN,PERM,STA,Lithcore,Lithdebris,Faces
TZ127,4350.638,8.471,11.805587414653882,8.995515666666671,8.63,2.123,14.06,3.9960000000000004,2.542,72.66199999999999,21.523000000000003,0.9279999999999999,S1K3,5.0,5.0,
TZ127,4351.038,10.770999999999999,9.806374575154202,9.516029333333336,8.617,2.049,13.07,4.001,2.546,67.157,19.469,0.7509999999999999,S1K3,5.0,5.0,
TZ127,4351.468,15.379000000000001,13.400452952350161,15.48759961111109,8.609,1.8130000000000002,12.873,2.728,2.439,74.078,17.838,3.803,S1K3,4.0,5.0,
TZ127,4351.668,16.327,14.187618756889584,15.173817912698459,8.6,1.8519999999999999,12.800999999999998,2.637,2.431,76.691,17.492,4.248,S1K3,5.0,5.0,
TZ127,4352.058,17.567999999999998,13.941364368061528,12.812682388888907,8.533999999999999,2.115,12.370999999999999,2.489,2.44,76.90100000000001,17.088,3.412,S1K3,5.0,4.0,
TZ127,4352.157999999999,14.975999999999999,13.558967647319047,13.053580823809536,8.526,2.174,12.207,2.463,2.456,76.062,16.974,3.003,S1K3,5.0,4.0,
TZ127,4352.268,13.127,12.859954813570369,13.446390688888888,8.522,2.234,12.026,2.438,2.479,74.575,16.575,2.642,S1K3,5.0,4.0,
TZ127,4352.548,9.994,11.192547613042466,11.455410000000015,8.524,2.291,11.583,2.532,2.522,70.958,15.119000000000002,1.845,S1K3,5.0,4.0,
TZ127,4352.848,10.602,11.123230905989864,12.319753999999996,8.522,2.312,11.272,2.72,2.512,70.297,15.085999999999999,2.0,S1K3,4.0,4.0,
TZ127,4353.128,6.6579999999999995,10.405662384149302,8.387573333333314,8.527999999999999,2.414,11.508,2.91,2.545,70.02600000000001,14.068,1.266,S1K3,4.0,5.0,
TZ127,4353.358,6.102,9.293085493053187,7.695329333333291,8.536,2.617,12.220999999999998,2.9219999999999997,2.576,68.25,13.562999999999999,0.816,S1K3,4.0,5.0,
TZ127,4353.458,11.535,9.390459097621934,9.134603333333342,8.536,2.66,12.449000000000002,2.8739999999999997,2.5669999999999997,68.48899999999999,13.859000000000002,0.736,S1K3,4.0,5.0,
TZ127,4353.518,9.697000000000001,9.566256974184915,9.484463333333352,8.536,2.677,12.508,2.8510000000000004,2.557,68.836,14.127,0.7440000000000001,S1K3,5.0,5.0,
TZ127,4353.588,11.331,9.896274551703796,10.651008177777781,8.532,2.694,12.382,2.8280000000000003,2.541,69.458,14.533,0.84,S1K3,5.0,5.0,
