Well,Thickiness,Por,K,Cal,Md,LLD,GR,AC,DEN,RMN,RMG,ILD,GRmax,GRmin,RMNmax,SPmax,DGR,Ceil,Middle,Floor,Vsh,SP,Min,Max,Ave
well3,1.07,24.76923077,129.7692308,0.366666667,0.121,12.4,55,293.909,2.24,4.84,5.65,14.48,120,47,1.5,20,0.109589041,53.73555282,41.73555282,29.83143141,45.931352,36.7344,36.7344,45.931352,42.07459738
well3,0.7,24.62,88.7,0.183333333,0.115,16.7,62.4,319.289,2.213,5.025,5.78,15.78,120,47,1.5,20,0.210958904,59.26946279,47.26946279,33.82681486,43.806216,37.352,37.352,47.26946279,45.58506715
well3,0.37,27.74,409.2,0.26,0.13125,15.8,61.2,313.198,2.165,4.84,5.78,15.78,120,47,1.5,20,0.194520548,58.22665063,46.22665063,32.9589818,44.70583333,37.352,37.352,46.22665063,45.03502211
well3,0.33,27.225,137.5,0.4,0.144,18.25,51.65,287.82,2.154,5.15,6.28,16.12,120,47,1.5,20,0.06369863,51.93423287,39.93423287,29.08727219,42.88626667,36.7344,36.7344,42.88626667,40.20465634
well3,0.15,24.6,82,0.3,,18.6,47.3,303,2.267,4.2,5.34,14.17,120,47,1.5,20,0.01,50.383446,38.383446,29.058933,23.232,36.1168,23.232,38.383446,35.1264922
well3,0.3,23.75,108.25,13.63333333,0.166666667,14.96,54.3,278.7,2.273,5.34,6.09,13.43,120,47,1.5,20,0.1,53.3229,41.3229,29.6211,43.59739556,34.264,34.264,43.59739556,41.07190911
well3,0.75,17.45,6.5,,0.164,7.63,79.3,283.9,2.381,5.15,5.15,5.69,120,47,1.5,20,0.442465753,79.93462359,67.93462359,55.09117881,42.99234667,29.3232,29.3232,67.93462359,59.08502584
well3,0.5,16.1,10,,,7.14,85.7,283.87,2.34,2.89,4.14,5.01,120,47,1.5,20,0.530136986,90.67516508,78.67516508,67.55207609,23.232,25.6176,23.232,78.67516508,62.28077555
well3,0.85,18.87142857,8.142857143,,,9.945,68.7,281.3,2.33,5.15,5.4,5.45,120,47,1.5,20,0.297260274,65.66776951,53.66776951,39.77969065,23.232,28.088,23.232,53.66776951,45.02263865
well3,0.7,14.6,1,,,8.71,78.6,272,2.41,6.41,6.41,5.22,120,47,1.5,20,0.432876712,78.85701989,66.85701989,53.87518581,23.232,26.8528,23.232,66.85701989,54.13159392
