wellid,layer,tops,bottom,mid,salinaty,x,y,area,types,zone
TZ12-2,S,4112,4357,4234.5,89030,4346892.8,14716071.3,TZ12,CaCl2,S1K3
TZ12-2,S,4112,4357,4234.5,88680,4346892.8,14716071.3,TZ12,CaCl2,S1K3
TZ12-2,S,4112,4357,4234.5,98900,4346892.8,14716071.3,TZ12,CaCl2,S1K3
TZ12-2,S,4350.5,4357,4353.75,99240,4346892.8,14716071.3,TZ12,CaCl2,S1K3
TZ15,S,4300,4306.5,4303.25,17780,4336219.4,14731091.3,TZ16,CaCl2,S1K3
TZ15,S,4300,4306.5,4303.25,132800,4336219.4,14731091.3,TZ16,CaCl2,S1K3
TZ15,S,4300,4306.5,4303.25,57050,4336219.4,14731091.3,TZ16,CaCl2,S1K3
TZ15,S,4300,4306.5,4303.25,125900,4336219.4,14731091.3,TZ16,CaCl2,S1K3
TZ15,S,4300,4306.9,4303.45,133100,4336219.4,14731091.3,TZ16,CaCl2,S1K3
TZ15,S,4300,4306.5,4303.25,125800,4336219.4,14731091.3,TZ16,CaCl2,S1K3
TZ15,S,4300,4306.5,4303.25,109400,4336219.4,14731091.3,TZ16,CaCl2,S1K3
TZ15,S,4300,4306.5,4303.25,56080,4336219.4,14731091.3,TZ16,CaCl2,S1K3
TZ15,S,4300,4306.5,4303.25,58530,4336219.4,14731091.3,TZ16,CaCl2,S1K3
TZ15,S,4300,4306.5,4303.25,16660,4336219.4,14731091.3,TZ16,CaCl2,S1K3
TZ15,S,4300,4306.5,4303.25,18850,4336219.4,14731091.3,TZ16,MgCl2,S1K3
TZ15,S,4300,4306.5,4303.25,20770,4336219.4,14731091.3,TZ16,MgCl2,S1K3
TZ161,S,4178,4181,4179.5,211613.58,4319959,14746201,TZ16,CaCl2,S1K1
TZ161,S,4178,4181,4179.5,217018.36,4319959,14746201,TZ16,CaCl2,S1K1
TZ161,S,4178,4181,4179.5,387051.16,4319959,14746201,TZ16,CaCl2,S1K1
TZ161,S,4178,4181,4179.5,200484.19,4319959,14746201,TZ16,CaCl2,S1K1
TZ16-13,S,4009.5,4057,4033.25,4155,4322539.1,14742745.5,TZ16,NaSO4,S1K1
TZ16-13,S,4009.5,4057,4033.25,4191,4322539.1,14742745.5,TZ16,NaSO4,S1K1
TZ169,S,4119.56,4149.16,4134.36,5014,4324715.8,14740604.5,TZ16,NaSO4,S1K1
TZ169,S,4113.5,4130.5,4122,81730,4324715.8,14740604.5,TZ16,CaCl2,S1K1
TZ169,S,4113.5,4130.5,4122,66110,4324715.8,14740604.5,TZ16,CaCl2,S1K1
TZ169,S,4022.41,4048.49,4035.45,4458,4324715.8,14740604.5,TZ16,NaSO4,S1K1
TZ242,S,4065.15,,4065.15,15960,4317807.6,14750044,TZ16,NaCO3,S1K1
TZ31,S,4583,4587,4585,133800,4361681.2,14723229.6,TZ12,CaCl2,S1K3
TZ31,S,4583,4587,4585,145800,4361681.2,14723229.6,TZ12,CaCl2,S1K3
TZ31,S,4583,4587,4585,126400,4361681.2,14723229.6,TZ12,CaCl2,S1K3
TZ35,S,4946,4951,4948.5,55967.53,4378835.4,14665580,TZ47,CaCl2,S1K3
TZ35,S,4946,4951,4948.5,42116.17,4378835.4,14665580,TZ47,CaCl2,S1K3
TZ35,S,4946,4951,4948.5,77745.76,4378835.4,14665580,TZ47,CaCl2,S1K3
TZ35,S,4946,4651,4798.5,89673.41,4378835.4,14665580,TZ47,CaCl2,S1K3
TZ35,S,4946,4951,4948.5,79001.39,4378835.4,14665580,TZ47,CaCl2,S1K3
TZ35,S,4946,4951,4948.5,74165.55,4378835.4,14665580,TZ47,CaCl2,S1K3
TZ35,S,4946,4951,4948.5,62118.49,4378835.4,14665580,TZ47,CaCl2,S1K3
TZ35,S,4946,4951,4948.5,79335.45,4378835.4,14665580,TZ47,CaCl2,S1K3
TZ35,S,4946,4951,4948.5,14247.03,4378835.4,14665580,TZ47,NaSO4,S1K3
TZ35,S,4946,4951,4948.5,12751.71,4378835.4,14665580,TZ47,NaSO4,S1K3
TZ35,S,4946,4951,4948.5,27271.52,4378835.4,14665580,TZ47,CaCl2,S1K3
TZ35,S,4946,4951,4948.5,18239.55,4378835.4,14665580,TZ47,NaSO4,S1K3
TZ47,S,4978.5,4968,4973.25,59310,4382179.1,14659780.2,TZ47,CaCl2,S1K3
TZ47,S,4978.5,4968,4973.25,59120,4382179.1,14659780.2,TZ47,CaCl2,S1K3
